Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	100	1
50	100	750	100	1
100	150	750	100	1
150	200	750	100	1
200	250	750	100	1
250	300	750	100	1
300	350	750	100	1
350	400	750	100	1
400	450	750	100	1
450	500	750	100	1
500	550	750	100	1
550	600	750	100	1
600	650	750	100	1
650	700	750	100	1
700	750	750	100	1
750	800	750	100	1
800	850	750	100	1
850	900	750	100	1
900	908	750	100	1
