Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	200	1
50	100	750	200	1
100	150	750	200	1
150	200	750	200	1
200	250	750	200	1
250	300	750	200	1
300	350	750	200	1
350	400	750	200	1
400	450	750	200	1
450	500	750	200	1
500	550	750	200	1
550	600	750	200	1
600	650	750	200	1
650	700	750	200	1
700	750	750	300	4
750	800	750	300	4
800	850	750	300	4
850	900	750	300	4
900	950	750	300	4
950	1000	750	300	4
1000	1050	750	300	4
1050	1100	750	300	4
1100	1150	750	300	4
1150	1200	750	300	4
1200	1250	750	300	4
1250	1300	750	300	4
1300	1350	750	200	1
1350	1400	750	200	1
1400	1450	750	200	1
1450	1500	750	200	1
1500	1550	750	200	1
1550	1600	750	200	1
1600	1650	750	200	1
1650	1700	750	200	1
1700	1750	750	100	2
1750	1800	750	100	2
1800	1850	750	100	2
1850	1900	750	100	2
1900	1950	750	100	2
1950	2000	750	100	2
2000	2050	750	100	2
2050	2100	750	100	2
2100	2150	750	100	2
2150	2200	750	100	2
2200	2250	750	100	2
2250	2300	750	100	2
2300	2350	750	100	2
2350	2400	750	100	2
2400	2450	750	100	2
2450	2500	750	100	2
2500	2550	750	100	1
2550	2600	750	100	1
2600	2650	750	100	1
2650	2700	750	100	1
2700	2750	750	100	1
2750	2800	750	100	1
2800	2850	750	100	1
2850	2900	750	100	1
2900	2950	750	100	1
2950	3000	750	100	1
3000	3050	750	100	1
3050	3100	750	100	1
3100	3136	750	100	1
