Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	100	2
50	100	750	100	2
100	150	750	100	2
150	200	750	100	2
200	250	750	100	2
250	300	750	400	4
300	350	750	400	4
350	400	750	400	4
400	450	750	400	4
450	500	750	400	4
500	550	750	400	4
550	600	750	400	4
600	650	750	400	4
650	700	750	400	4
700	750	750	400	4
750	800	750	400	4
800	850	750	400	4
850	900	750	400	4
900	950	750	400	4
950	1000	750	400	4
1000	1050	750	400	4
1050	1100	750	400	4
1100	1150	750	400	4
1150	1200	750	400	4
1200	1250	750	400	4
1250	1300	750	400	4
1300	1350	750	150	2
1350	1400	750	150	2
1400	1450	750	150	2
1450	1500	750	150	2
1500	1550	750	150	2
1550	1600	750	150	2
1600	1650	750	150	2
1650	1700	300	300	3
1700	1750	300	300	3
1750	1800	300	300	3
1800	1850	300	300	3
1850	1900	300	300	3
1900	1950	750	200	2
1950	2000	750	200	2
2000	2050	750	200	2
2050	2100	750	200	2
2100	2150	750	200	2
2150	2200	750	200	2
2200	2250	750	200	2
2250	2300	750	200	2
2300	2350	750	200	2
2350	2400	750	200	2
2400	2450	750	200	2
2450	2500	750	200	2
2500	2550	750	200	2
2550	2600	750	200	2
2600	2650	750	200	2
2650	2700	750	200	2
2700	2750	750	200	2
2750	2800	750	200	2
2800	2850	750	200	2
2850	2900	750	200	2
2900	2950	750	200	2
2950	3000	750	200	2
3000	3050	750	300	2
3050	3100	750	300	2
3100	3150	750	300	2
3150	3200	750	300	2
3200	3250	750	300	2
3250	3300	750	300	2
3300	3350	750	300	2
3350	3385	750	300	2
